"filename", "language", "Rust", "comment", "blank", "total"
"/home/i3draven/fun/Rust/openapi-translator/src/enums/common.rs", "Rust", 447, 0, 34, 481
"/home/i3draven/fun/Rust/openapi-translator/src/holders/context.rs", "Rust", 61, 0, 12, 73
"/home/i3draven/fun/Rust/openapi-translator/src/lib.rs", "Rust", 137, 0, 15, 152
"/home/i3draven/fun/Rust/openapi-translator/src/main.rs", "Rust", 11, 0, 2, 13
"/home/i3draven/fun/Rust/openapi-translator/src/services/cli.rs", "Rust", 112, 0, 11, 123
"/home/i3draven/fun/Rust/openapi-translator/src/services/code.rs", "Rust", 66, 0, 11, 77
"/home/i3draven/fun/Rust/openapi-translator/src/services/references.rs", "Rust", 79, 0, 13, 92
"/home/i3draven/fun/Rust/openapi-translator/src/services/scripts.rs", "Rust", 16, 1, 3, 20
"/home/i3draven/fun/Rust/openapi-translator/src/services/visitors.rs", "Rust", 1555, 3, 91, 1649
"/home/i3draven/fun/Rust/openapi-translator/src/structs/common.rs", "Rust", 75, 0, 17, 92
"/home/i3draven/fun/Rust/openapi-translator/src/traits/common.rs", "Rust", 14, 0, 4, 18
"Total", "-", 2573, 4, 213, 2790